year,according,district_code,site_id,sex,average_age
112,按發生日期分,65000000,新北市,男,33.7
112,按發生日期分,65000000,新北市,女,31.8
112,按發生日期分,63000000,臺北市,男,34.4
112,按發生日期分,63000000,臺北市,女,32.6
112,按發生日期分,68000000,桃園市,男,32.6
112,按發生日期分,68000000,桃園市,女,30.6
112,按發生日期分,66000000,臺中市,男,32.5
112,按發生日期分,66000000,臺中市,女,30.6
112,按發生日期分,67000000,臺南市,男,32.9
112,按發生日期分,67000000,臺南市,女,30.9
112,按發生日期分,64000000,高雄市,男,33.0
112,按發生日期分,64000000,高雄市,女,31.0
112,按發生日期分,10002000,宜蘭縣,男,32.1
112,按發生日期分,10002000,宜蘭縣,女,30.1
112,按發生日期分,10004000,新竹縣,男,32.4
112,按發生日期分,10004000,新竹縣,女,30.4
112,按發生日期分,10005000,苗栗縣,男,32.2
112,按發生日期分,10005000,苗栗縣,女,30.2
112,按發生日期分,10007000,彰化縣,男,31.7
112,按發生日期分,10007000,彰化縣,女,29.8
112,按發生日期分,10008000,南投縣,男,32.2
112,按發生日期分,10008000,南投縣,女,30.0
112,按發生日期分,10009000,雲林縣,男,31.8
112,按發生日期分,10009000,雲林縣,女,29.4
112,按發生日期分,10010000,嘉義縣,男,32.1
112,按發生日期分,10010000,嘉義縣,女,29.6
112,按發生日期分,10013000,屏東縣,男,31.9
112,按發生日期分,10013000,屏東縣,女,29.4
112,按發生日期分,10014000,臺東縣,男,32.3
112,按發生日期分,10014000,臺東縣,女,30.0
112,按發生日期分,10015000,花蓮縣,男,32.1
112,按發生日期分,10015000,花蓮縣,女,29.9
112,按發生日期分,10016000,澎湖縣,男,31.9
112,按發生日期分,10016000,澎湖縣,女,30.3
112,按發生日期分,10017000,基隆市,男,32.8
112,按發生日期分,10017000,基隆市,女,30.8
112,按發生日期分,10018000,新竹市,男,32.9
112,按發生日期分,10018000,新竹市,女,30.9
112,按發生日期分,10020000,嘉義市,男,32.7
112,按發生日期分,10020000,嘉義市,女,31.0
112,按發生日期分,09020000,金門縣,男,32.6
112,按發生日期分,09020000,金門縣,女,30.6
112,按發生日期分,09007000,連江縣,男,33.1
112,按發生日期分,09007000,連江縣,女,32.0
